0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,μ,σ,,Repetição,Voto Majoritário,Voto Ponderado
"83,2369942196532","83,2369942196532","87,8612716763006","84,971098265896","84,393063583815","87,8612716763006","85,5491329479769","87,2832369942197","84,971098265896","90,7514450867052","85,5491329479769","87,2832369942197","85,5491329479769","86,1271676300578","83,2369942196532","86,1271676300578","85,5491329479769","84,393063583815","88,4393063583815","88,4393063583815","86,1271676300578","87,2832369942197","80,9248554913295","85,5491329479769","87,2832369942197","84,971098265896","91,3294797687861","79,7687861271676","84,971098265896","83,2369942196532","82,6589595375723","84,393063583815","85,603323699422","2,48018524994069",,0,"83,23699","82,65896"
"16,7630057803468","16,7630057803468","12,1387283236994","15,028901734104","15,606936416185","12,1387283236994","14,4508670520231","12,7167630057803","15,028901734104","9,2485549132948","14,4508670520231","12,7167630057803","14,4508670520231","13,8728323699422","16,7630057803468","13,8728323699422","14,4508670520231","15,606936416185","11,5606936416185","11,5606936416185","13,8728323699422","12,7167630057803","19,0751445086705","14,4508670520231","12,7167630057803","15,028901734104","8,67052023121387","20,2312138728324","15,028901734104","16,7630057803468","17,3410404624277","15,606936416185","14,396676300578","2,48018524994069",,1,"83,23699","82,65896"
"82,6589595375723","82,6589595375723","87,8612716763006","83,2369942196532","84,393063583815","86,7052023121387","84,971098265896","86,1271676300578","84,971098265896","90,1734104046243","83,8150289017341","86,7052023121387","85,5491329479769","86,1271676300578","83,2369942196532","84,971098265896","84,971098265896","82,6589595375723","87,2832369942197","87,2832369942197","84,971098265896","87,2832369942197","80,3468208092486","84,971098265896","87,2832369942197","84,393063583815","89,0173410404624","79,1907514450867","83,8150289017341","82,0809248554913","83,2369942196532","83,8150289017341","84,8988439306358","2,37537068785182",,2,"87,86127","87,86127"
"17,3410404624277","17,3410404624277","12,1387283236994","16,7630057803468","15,606936416185","13,2947976878613","15,028901734104","13,8728323699422","15,028901734104","9,82658959537572","16,1849710982659","13,2947976878613","14,4508670520231","13,8728323699422","16,7630057803468","15,028901734104","15,028901734104","17,3410404624277","12,7167630057803","12,7167630057803","15,028901734104","12,7167630057803","19,6531791907514","15,028901734104","12,7167630057803","15,606936416185","10,9826589595376","20,8092485549133","16,1849710982659","17,9190751445087","16,7630057803468","16,1849710982659","15,1011560693642","2,37537068785183",,3,"84,97110","83,23699"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"84,39306","84,39306"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"87,86127","86,70520"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"85,54913","84,97110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"87,28324","86,12717"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"84,97110","84,97110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"90,75145","90,17341"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"85,54913","83,81503"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"87,28324","86,70520"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"85,54913","85,54913"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"86,12717","86,12717"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"83,23699","83,23699"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"86,12717","84,97110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"85,54913","84,97110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,"84,39306","82,65896"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"88,43931","87,28324"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,"88,43931","87,28324"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"86,12717","84,97110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,"87,28324","87,28324"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,"80,92486","80,34682"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,"85,54913","84,97110"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,"87,28324","87,28324"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,"84,97110","84,39306"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,"91,32948","89,01734"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,"79,76879","79,19075"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,"84,97110","83,81503"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,"83,23699","82,08092"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,"82,65896","83,23699"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,"84,39306","83,81503"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Média,"85,6033","84,8988"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DP,"2,4802","2,3754"
