A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
0.687804,1.346443,0.357199,0.552716,0.183551,-0.358527,-0.38589,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-1.073483,-0.153765,1
0.687804,1.083336,-0.87362,0.552716,-0.108944,-0.358527,2.689479,1.374553,-0.970894,-0.539677,-0.918321,-3.127628,1.259992,-0.198177,1
0.687804,-0.710578,1.61366,0.552716,0.183551,-0.358527,-0.661884,-1.508248,1.300011,-0.089946,-0.918321,0.239085,-1.073483,0.883299,1
0.687804,-0.461139,-0.924904,0.552716,-1.278923,0.159012,-0.701312,1.374553,-0.970894,-0.539677,1.086873,0.239085,-1.073483,-0.198177,2
0.687804,0.214569,0.357199,0.552716,-0.401439,-0.358527,-0.661884,1.374553,-0.970894,-0.539677,1.086873,0.239085,1.510841,-0.198177,1
0.687804,1.161927,-0.668483,0.552716,0.183551,-0.358527,0.087244,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.256767,-0.198177,1
0.687804,-0.490183,1.656738,0.552716,1.646025,-0.358527,-0.543601,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,-0.197787,1
0.687804,-0.183509,-0.719767,0.552716,0.183551,1.711628,-0.622456,-1.508248,1.300011,-0.089946,1.086873,0.239085,1.259992,-0.177139,1
0.687804,-0.689222,-0.412063,0.552716,-1.863913,-1.911143,0.718089,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.140093,-0.193307,1
-1.449964,-1.088154,-0.07051,-1.816067,0.183551,1.711628,0.244955,1.374553,-0.970894,-0.539677,-0.918321,0.239085,0.326602,-0.198177,2
0.687804,-0.988208,-0.719767,-1.816067,-0.986428,-0.358527,-0.661884,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.256767,-0.197398,1
-1.449964,-0.75329,0.288478,0.552716,-0.401439,-0.358527,-0.649267,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.209928,-0.003387,1
0.687804,-0.717412,1.305955,0.552716,1.93852,1.711628,-0.556218,1.374553,1.300011,-0.314812,-0.918321,0.239085,-0.490114,-0.198177,2
0.687804,0.271803,2.100859,0.552716,1.35353,1.19409,0.994083,1.374553,1.300011,1.484111,1.086873,0.239085,-1.073483,-0.172075,2
0.687804,0.663048,0.228989,0.552716,1.646025,1.711628,2.452912,1.374553,1.300011,2.608438,1.086873,0.239085,1.254159,-0.198177,2
0.687804,0.570789,1.100818,-1.816067,-0.986428,-0.358527,-0.661884,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.140093,-0.198177,1
-1.449964,2.870416,1.895722,0.552716,-1.863913,-1.911143,-0.701312,1.374553,1.300011,1.933842,1.086873,0.239085,-1.073483,0.07453,2
0.687804,0.598979,-0.292058,0.552716,0.476046,-0.358527,0.560378,1.374553,1.300011,2.608438,-0.918321,0.239085,1.16082,0.063621,2
0.687804,0.222257,0.904913,0.552716,0.183551,-0.358527,0.718089,1.374553,1.300011,2.158707,1.086873,0.239085,-1.073483,-0.155128,2
0.687804,0.058242,1.895722,-1.816067,-1.863913,-1.911143,-0.701312,-1.508248,1.300011,-0.089946,-0.918321,0.239085,-0.140093,-0.197982,1
0.687804,-0.789169,1.280313,0.552716,0.476046,-0.358527,-0.070467,1.374553,1.300011,-0.314812,-0.918321,0.239085,-0.606788,-0.144025,2
0.687804,0.179545,-0.719767,0.552716,0.476046,-0.358527,-0.333845,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.373441,-0.198177,1
-1.449964,-0.133963,0.108984,0.552716,0.768541,-1.393604,0.008388,1.374553,1.300011,0.58465,1.086873,0.239085,-0.495948,-0.100782,2
-1.449964,-0.731934,1.434165,0.552716,1.93852,1.711628,-0.543601,1.374553,1.300011,-0.089946,1.086873,0.239085,0.676623,-0.090847,2
-1.449964,-0.738768,1.400318,0.552716,1.646025,-0.358527,-0.688695,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.606788,0.064595,2
-1.449964,-0.952329,-0.804899,0.552716,1.061036,-0.358527,-0.201367,1.374553,1.300011,-0.314812,-0.918321,0.239085,-1.073483,-0.198177,2
0.687804,-0.36888,-0.847977,0.552716,-0.401439,-0.358527,-0.557795,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.093254,-0.198177,1
-1.449964,1.239663,-0.360778,0.552716,0.183551,-0.358527,0.047816,1.374553,1.300011,1.259246,1.086873,0.239085,1.236658,0.611956,2
0.687804,-0.176675,-0.857209,0.552716,0.476046,-0.358527,-0.609839,-1.508248,1.300011,-0.314812,-0.918321,0.239085,0.909971,0.34782,1
0.687804,-1.123178,1.160308,-1.816067,-0.401439,-0.358527,-0.661884,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.373441,-0.12513,1
0.687804,0.243613,-0.702331,0.552716,-1.278923,0.159012,-0.661884,-1.508248,-0.970894,-0.539677,1.086873,0.239085,1.49334,0.678379,1
0.687804,-0.930973,-0.719767,-1.816067,0.183551,1.711628,-0.267606,1.374553,1.300011,0.134919,1.086873,0.239085,-0.256767,-0.157271,1
-1.449964,-0.682388,-0.856183,-1.816067,-1.863913,-1.911143,-0.661884,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.373441,-0.18123,1
-1.449964,0.528077,0.152063,0.552716,1.061036,-0.358527,-0.661884,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.256598,-0.198177,2
-1.449964,0.628023,-0.634636,0.552716,-0.401439,-0.358527,-0.622456,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,-0.122209,1
